Diện tích,Giá phòng,Số phòng ngủ,Số phòng tắm,Điều hòa,Nội thất,Tầng,Khoảng cách,Ngày,Tháng,Năm,Ba Đình,Bắc Từ Liêm,Cầu Giấy,Hai Bà Trưng,Hoàng Mai,Hà Nội,Hà Đông,Long Biên,Nam Từ Liêm,Thanh Xuân,Tây Hồ,Đống Đa,apartment,studio
25.0,4.0,1,1,0,0,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
25.0,2.5,1,1,0,0,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
13.0,1.0,1,1,0,0,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
30.0,3.0,1,1,0,0,1,5.5,15.0,6.0,2026.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
28.0,4.3,1,1,0,1,1,9.0,15.0,6.0,2026.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
25.0,4.0,1,1,0,1,1,2.5,15.0,6.0,2026.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20.0,3.0,1,1,0,1,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
25.0,3.0,1,1,0,0,1,5.5,15.0,6.0,2026.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
25.0,3.0,1,1,0,0,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
80.0,3.0,1,1,0,1,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20.0,2.9,1,1,0,1,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
28.0,3.9,1,1,0,0,1,6.5,15.0,6.0,2026.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
25.0,2.9,1,1,0,0,1,6.5,15.0,6.0,2026.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
8.0,1.3,1,1,0,0,1,6.5,15.0,6.0,2026.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
22.0,3.5,1,1,0,0,1,9.0,15.0,6.0,2026.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
25.0,3.2,1,1,1,0,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
38.0,4.6,1,1,0,0,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
37.0,3.6,1,1,0,0,1,2.0,15.0,6.0,2026.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
18.0,1.8,1,1,0,1,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
50.0,3.0,1,1,0,1,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20.0,4.3,1,1,0,1,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
25.0,3.0,1,1,0,0,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
25.0,4.3,1,1,0,0,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
18.0,2.0,1,1,0,0,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
25.0,3.3,1,1,0,1,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
25.0,4.2,1,1,0,1,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
10.0,1.6,1,1,0,1,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
25.0,4.5,1,1,0,1,1,6.0,15.0,6.0,2026.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
22.0,4.7,1,1,0,1,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
25.0,4.5,1,1,0,1,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
15.0,1.0,1,1,0,0,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
18.0,1.5,1,1,0,0,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
30.0,3.6,1,1,0,1,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
30.0,4.2,1,1,0,0,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
30.0,3.4,1,1,0,1,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
30.0,3.4,1,1,0,0,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
16.0,2.2,1,1,0,0,1,5.5,15.0,6.0,2026.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
31.0,3.0,1,1,0,1,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
22.0,4.5,1,1,0,0,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
18.0,2.9,1,1,0,0,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
15.0,2.0,1,1,0,0,2,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
18.0,2.5,1,1,0,0,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20.0,2.5,1,1,0,0,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
30.0,3.0,1,1,0,0,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
25.0,2.8,1,1,0,0,1,7.0,15.0,6.0,2026.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
27.0,4.5,1,1,0,0,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
18.0,3.1,1,1,0,0,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
50.0,3.0,1,1,0,0,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
18.0,3.0,1,1,0,1,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
25.0,4.6,1,1,1,1,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
35.0,5.3,1,1,0,1,1,6.0,15.0,6.0,2026.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
20.0,3.5,1,1,0,1,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
32.0,3.2,1,1,0,0,1,6.5,15.0,6.0,2026.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
25.0,4.3,1,1,1,0,1,6.0,15.0,6.0,2026.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
22.0,4.8,1,1,0,0,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20.0,3.3,1,1,0,1,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
12.0,0.8,1,1,0,0,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
22.0,3.6,1,1,1,0,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
26.0,3.2,1,1,0,0,1,6.5,15.0,6.0,2026.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
25.0,1.0,1,1,0,1,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20.0,2.2,1,1,0,0,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
25.0,2.9,1,1,0,0,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20.0,2.6,1,1,0,0,1,6.5,15.0,6.0,2026.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20.0,2.3,1,1,0,0,1,9.0,15.0,6.0,2026.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
30.0,2.9,1,1,0,1,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
15.0,2.0,1,1,0,0,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20.0,3.75,1,1,0,1,1,9.0,15.0,6.0,2026.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
20.0,3.8,1,1,0,1,1,12.0,15.0,6.0,2026.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
22.0,4.3,1,1,0,1,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
18.0,2.6,1,1,0,0,1,10.0,15.0,6.0,2026.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
25.0,4.5,1,1,0,1,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
25.0,4.0,1,1,0,0,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
25.0,5.0,1,1,0,1,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
20.0,2.9,1,1,0,0,1,9.0,15.0,6.0,2026.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
10.0,1.3,1,1,0,0,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
18.0,2.4,1,1,0,0,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
22.0,2.2,1,1,0,0,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
10.0,1.1,1,1,0,0,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
24.0,3.9,1,1,0,0,1,6.5,15.0,6.0,2026.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20.0,2.6,1,1,0,0,1,9.0,15.0,6.0,2026.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
20.0,3.9,1,1,0,0,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
14.0,0.7,1,1,0,0,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
22.0,3.2,1,1,0,1,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
25.0,3.8,1,1,0,1,1,12.0,15.0,6.0,2026.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
13.0,2.2,1,1,0,0,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
18.0,4.5,1,1,0,1,1,2.5,15.0,6.0,2026.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12.0,1.2,1,1,0,0,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
25.0,4.2,1,1,0,0,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
23.0,4.0,1,1,0,0,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
35.0,3.5,1,1,0,1,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20.0,3.0,1,1,0,0,1,2.5,15.0,6.0,2026.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20.0,4.5,1,1,0,0,1,3.5,15.0,6.0,2026.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
25.0,5.0,1,1,0,0,1,5.0,15.0,6.0,2026.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
